nDistractors,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,targetX,targetY,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,date,frameRate,expName,session,participant,
8,0,0,0,3,-0.225005540445,0.0102383281482,-0.215625,0.0319444444444,1,0,0,2.96887993813,2013_Aug_05_1558,60.7293656022,visualSearch1,001,,
4,0,1,1,0,0.0259090342787,-0.129561714476,0.0203125,-0.125,1,0,0,1.51240491867,2013_Aug_05_1558,60.7293656022,visualSearch1,001,,
8,0,2,2,2,-0.168707753469,0.138337522629,-0.16328125,0.134722222222,1,0,0,1.34989786148,2013_Aug_05_1558,60.7293656022,visualSearch1,001,,
16,0,3,3,5,0.28513670196,0.15781204837,0.303125,0.175,1,0,0,2.03134083748,2013_Aug_05_1558,60.7293656022,visualSearch1,001,,
16,0,4,4,4,0.036309131555,0.216104537034,0.04296875,0.241666666667,1,0,0,1.2399289608,2013_Aug_05_1558,60.7293656022,visualSearch1,001,,
4,0,5,5,1,-0.311080641009,0.128864998456,-0.31171875,0.120833333333,1,0,0,1.44050502777,2013_Aug_05_1558,60.7293656022,visualSearch1,001,,
16,1,0,6,4,0.327352630362,0.341846556677,0.34375,0.35,1,0,0,2.36875605583,2013_Aug_05_1558,60.7293656022,visualSearch1,001,,
4,1,1,7,0,0.35221072699,-0.233169044848,0.321875,-0.179166666667,1,0,0,1.55828714371,2013_Aug_05_1558,60.7293656022,visualSearch1,001,,
8,1,2,8,3,0.3326818749,-0.449900886721,-0.0703125,0.180555555556,1,0,0,1.23231196404,2013_Aug_05_1558,60.7293656022,visualSearch1,001,,
