key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
space,4.27107715607,,,2016_Oct_11_1205,59.8150630622,stimuliDemostrationProject,001,1,
,,space,3.41850805283,2016_Oct_11_1205,59.8150630622,stimuliDemostrationProject,001,1,
