key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
space,2.69019695802,,,2014_Oct_07_0050,32.0017050698,stimuliDemostrationProject,001,,
,,space,0.504248478974,2014_Oct_07_0050,32.0017050698,stimuliDemostrationProject,001,,
