key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
space,1.13255176559,,,2014_Oct_07_0051,32.0065246412,stimuliDemostrationProject,001,,
,,space,0.509131832863,2014_Oct_07_0051,32.0065246412,stimuliDemostrationProject,001,,
