key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
space,9.78748083115,,,2016_Oct_11_0011,59.8544133365,stimuliDemostrationProject,001,1,
,,space,11.1401948929,2016_Oct_11_0011,59.8544133365,stimuliDemostrationProject,001,1,
